alias,nodeId,p2p,ping (tcp),ping (udp)
null,0x9120da80fe686b89810119504e3392755e5bcf94,false,381ms,369ms
null,0xa890633a7f960adf7da744dd22d53483dea02f00,false,96ms,96ms
null,0x8eb2cde4ff3989dc06ffb6142ec47335266156a3,false,10s,56ms
null,0x2ee75733f85f365dd305183e2e1eb811011d80d5,false,304ms,105ms
null,0x156eed9c75f7d41880d673b24fd03f0f4f8cb09e,false,115ms,100ms
null,0x2d80477731fd64867af3513e2c2bd15abcc176fa,true,10s,333ms
null,0xb5a562cb72c69cebb53db9b6301ca29b093aad49,false,75ms,59ms
null,0x190d6a40ceafdffd40b9956a215153ec7898afd3,false,257ms,242ms
null,0xf1221f5ff8c2ed7d7cfe665a6bde17b89f53ac41,false,115ms,93ms
null,0x68f8817318b06bafe3329a7a47d95673fcbb70ba,false,10s,357ms
null,0x8bfcef05fa642d8aa8917f9fa572c567daef7d4b,false,112ms,96ms
null,0x207cdcbedff3245a3f959da4bb9a6ff322d91cae,false,10s,65ms
null,0x5922a4e6dca9eb3782777380fcd291b40b1903cd,false,85ms,83ms
null,0x29154389fba54b321ebba377fae10d2e49f363f1,false,10s,74ms
null,0x03b791a20befcfdc73be94f44513dcb0fc6ae99b,false,283ms,94ms
null,0x00296e6ac9cffe2bfca741972e9a852275b5ce29,false,98ms,97ms
null,0x1371e45b1037460b17892635e2870cfe84c4545f,false,10s,77ms
null,0x140c9fcdf8ce0a50a083cfd33148cdaaddfa4d84,false,94ms,94ms
null,0x1a8cf49c58ee07894f52a0bc54d5d124ee5698ee,false,75ms,71ms
null,0x201d14a944db1d397f4937c86dcab1c82bc1dbc4,false,120ms,94ms
null,0x22d7a1b7df051e9bdd1c6ca978e89ef368705e08,true,134ms,133ms
null,0x2b233e5130bcaef9b995a9b334c087493d9ba091,false,94ms,94ms
null,0x2c3a9ecf6bb730133b063398b3b6cf441dbf9b73,false,54ms,54ms
null,0x40fbaa4b6ba028a32c329d38ba4da6f1e173310c,false,108ms,108ms
null,0x4131529e20f88ca70161234de47947544f704c53,true,10s,105ms
null,0x4988925689aee2ab3a49717a686afa81ed888d1f,false,10s,78ms
null,0x590a7ff861cf33b39efa4ce30d790e8db2831937,false,177ms,177ms
null,0x5d676c34b1c2e5cfac409a49899556c167845ed7,false,10s,362ms
null,0x6400d65ce8ab151efc1a0ea620a8dead4d0ec460,false,10s,62ms
null,0x68567562446b319611434a6559efd54e757f7700,false,94ms,97ms
